round_num,n_samples,accuracy,calibration_accuracy,roc_auc,log_loss,brier_score,avg_confidence,model,dataset
22,10496,0.7149390243902439,0.7133131618759455,0.7707630091660935,0.7008248566656253,0.2021354368991076,0.5007168370427882,random_forest,kaggle
23,9700,0.7116494845360825,0.7096181335511538,0.7659708151769582,0.7244191333982605,0.2050003818134698,0.49750110634987105,random_forest,kaggle
24,8800,0.7025,0.6987065120428189,0.7599361570247933,0.705510724912249,0.20769002709019263,0.49766043526932974,random_forest,kaggle
25,7798,0.7110797640420621,0.7104859335038363,0.7590377209194905,0.7705860895923445,0.20830609391331553,0.498385491759851,random_forest,kaggle
26,6794,0.707094495142773,0.706850926198177,0.7540454360282052,0.7436298981807354,0.21016761745734558,0.5002944799995266,random_forest,kaggle
27,5696,0.6968047752808989,0.6971508969398522,0.7478427720813344,0.7627946695332669,0.21246596210137209,0.4961136773176509,random_forest,kaggle
28,4638,0.6929711082363088,0.6903445342407486,0.7389378218927914,0.7492602551176738,0.2171099302997171,0.49816698470159354,random_forest,kaggle
29,3542,0.6852060982495765,0.6853107344632768,0.7435357464081104,0.732781069605346,0.2155477989745299,0.5004467317400032,random_forest,kaggle
30,2362,0.6850127011007621,0.6834592779177162,0.750470152233967,0.7591408260222414,0.21238975029781457,0.5026250124688492,random_forest,kaggle
1,12684,0.5486439608956165,0.5463870870417861,0.5624406963492969,0.7681261947462779,0.26240355344713845,0.5351480599012304,knn,kaggle
2,12684,0.5470671712393567,0.5455967464414203,0.5632843981561457,1.444302792119421,0.27774884252573623,0.5033995218298921,knn,kaggle
3,12684,0.5696941028066856,0.5741469816272966,0.586379978361533,1.8167566884592705,0.2707454275869875,0.5036095010579907,knn,kaggle
4,12684,0.5808893093661306,0.5852682145716573,0.5981997845700565,2.3608670298663723,0.27578758406380527,0.49858840461178267,knn,kaggle
5,12684,0.5939766635130873,0.599873477779535,0.6181607681009337,2.4449912373922755,0.27130540676558257,0.5040043916026844,knn,kaggle
6,12684,0.596893724377168,0.6032421811036516,0.6309210540055679,2.850153688169836,0.27024206500428805,0.505669577286531,knn,kaggle
7,12684,0.6069851781772312,0.6173999011369253,0.640126589208553,3.05504854193111,0.2681374874697124,0.49846335854770224,knn,kaggle
8,12684,0.6166035950804163,0.6286830538824678,0.6497543420391416,3.090344272365782,0.26546191666523383,0.49662721663232967,knn,kaggle
9,12684,0.6210974456007569,0.6314523885860853,0.6603553062527293,3.1217696546730416,0.2624744288139093,0.502258190701963,knn,kaggle
10,12684,0.6361557868180385,0.6419478039465308,0.6699907540754121,3.357021924782455,0.25968210411734277,0.5044504923199166,knn,kaggle
11,12684,0.6465625985493535,0.6556270096463023,0.6874120918633377,3.3168216708288125,0.25275043200109915,0.5007024074280588,knn,kaggle
12,12684,0.6552349416587827,0.6651465798045603,0.693003243283776,3.5734842167643426,0.2514374038299119,0.5015555624570333,knn,kaggle
13,12684,0.6505045726900032,0.6624499599679744,0.6950847821548982,3.6407330194522878,0.25083567105235505,0.5048639656150139,knn,kaggle
14,12684,0.6566540523494165,0.6654196486662329,0.6996222417742151,3.5804312634441606,0.2502677660442581,0.5013206725192997,knn,kaggle
15,12684,0.6624881740775781,0.6755215123859192,0.7004009401664266,3.994951758250479,0.25217135863885903,0.5025523872486052,knn,kaggle
16,12684,0.6993062125512457,0.7026767110113801,0.7574536751530868,1.7549401987645097,0.20756446411556756,0.4955759654122921,knn,kaggle
17,12654,0.6868183973447132,0.7005968169761273,0.7335859230246693,3.196793944541772,0.2298072124797409,0.4989169631102865,knn,kaggle
18,12494,0.6794461341443893,0.6926943699731903,0.729876513289209,3.478602007345779,0.23343452862165187,0.4990387333196474,knn,kaggle
19,12190,0.6873666940114849,0.6996381182147166,0.7364951031689257,3.4428765351723793,0.23095525988136661,0.5010528550870734,knn,kaggle
20,11758,0.6845551964619834,0.6971408400988351,0.7331968208100763,3.9241553517138814,0.23519209528572574,0.5037035169989335,knn,kaggle
21,11162,0.6941408349758108,0.7066001109262341,0.7348744898517094,3.789355478426486,0.23329239629114976,0.5028764420667354,knn,kaggle
22,10496,0.69140625,0.7005086071987481,0.7336295977155061,3.7583597407779106,0.23385619706380337,0.5058226302402845,knn,kaggle
23,9700,0.6923711340206186,0.7105887427215872,0.7341938569454778,3.840772412240309,0.23426459900193713,0.49764859924095034,knn,kaggle
24,8800,0.6903409090909091,0.6992957746478873,0.7271184917355372,3.6917449430751486,0.23765671457528562,0.49748318420388626,knn,kaggle
25,7798,0.6906899204924339,0.7068034557235421,0.7313806731012175,3.5891038964674755,0.23461416422621986,0.49891838932154664,knn,kaggle
